"","Year","delta_Total","delta_Gas","delta_Liquids","delta_Solids","delta_CementProduction","delta_GasFlaring","delta_PerCapita"
"1",1752,0,0,0,0,0,0,0
"2",1753,0,0,0,0,0,0,0
"3",1754,0,0,0,0,0,0,0
"4",1755,0,0,0,0,0,0,0
"5",1756,0,0,0,0,0,0,0
"6",1757,0,0,0,0,0,0,0
"7",1758,0,0,0,0,0,0,0
"8",1759,0,0,0,0,0,0,0
"9",1760,0,0,0,0,0,0,0
"10",1761,0,0,0,0,0,0,0
"11",1762,0,0,0,0,0,0,0
"12",1763,0,0,0,0,0,0,0
"13",1764,0,0,0,0,0,0,0
"14",1765,0,0,0,0,0,0,0
"15",1766,0,0,0,0,0,0,0
"16",1767,0,0,0,0,0,0,0
"17",1768,0,0,0,0,0,0,0
"18",1769,0,0,0,0,0,0,0
"19",1770,0,0,0,0,0,0,0
"20",1771,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"21",1772,0,0,0,0,0,0,0
"22",1773,0,0,0,0,0,0,0
"23",1774,0,0,0,0,0,0,0
"24",1775,0,0,0,0,0,0,0
"25",1776,0,0,0,0,0,0,0
"26",1777,0,0,0,0,0,0,0
"27",1778,0,0,0,0,0,0,0
"28",1779,0,0,0,0,0,0,0
"29",1780,0,0,0,0,0,0,0
"30",1781,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"31",1782,0,0,0,0,0,0,0
"32",1783,0,0,0,0,0,0,0
"33",1784,0,0,0,0,0,0,0
"34",1785,0,0,0,0,0,0,0
"35",1786,0,0,0,0,0,0,0
"36",1787,0,0,0,0,0,0,0
"37",1788,0,0,0,0,0,0,0
"38",1789,0,0,0,0,0,0,0
"39",1790,0,0,0,0,0,0,0
"40",1791,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"41",1792,0,0,0,0,0,0,0
"42",1793,0,0,0,0,0,0,0
"43",1794,0,0,0,0,0,0,0
"44",1795,0,0,0,0,0,0,0
"45",1796,0,0,0,0,0,0,0
"46",1797,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"47",1798,0,0,0,0,0,0,0
"48",1799,0,0,0,0,0,0,0
"49",1800,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"50",1801,0,0,0,0,0,0,0
"51",1802,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
"52",1803,-33.3333333333333,-33.3333333333333,-33.3333333333333,-33.3333333333333,-33.3333333333333,-33.3333333333333,-33.3333333333333
"53",1804,0,0,0,0,0,0,0
"54",1805,0,0,0,0,0,0,0
"55",1806,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"56",1807,0,0,0,0,0,0,0
"57",1808,0,0,0,0,0,0,0
"58",1809,0,0,0,0,0,0,0
"59",1810,0,0,0,0,0,0,0
"60",1811,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"61",1812,0,0,0,0,0,0,0
"62",1813,0,0,0,0,0,0,0
"63",1814,0,0,0,0,0,0,0
"64",1815,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"65",1816,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"66",1817,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"67",1818,0,0,0,0,0,0,0
"68",1819,0,0,0,0,0,0,0
"69",1820,0,0,0,0,0,0,0
"70",1821,0,0,0,0,0,0,0
"71",1822,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"72",1823,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"73",1824,0,0,0,0,0,0,0
"74",1825,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"75",1826,0,0,0,0,0,0,0
"76",1827,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"77",1828,0,0,0,0,0,0,0
"78",1829,0,0,0,0,0,0,0
"79",1830,200,200,200,200,200,200,200
"80",1831,-33.3333333333333,-33.3333333333333,-33.3333333333333,-33.3333333333333,-33.3333333333333,-33.3333333333333,-33.3333333333333
"81",1832,0,0,0,0,0,0,0
"82",1833,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"83",1834,0,0,0,0,0,0,0
"84",1835,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"85",1836,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333
"86",1837,0,0,0,0,0,0,0
"87",1838,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"88",1839,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"89",1840,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
"90",1841,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"91",1842,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
"92",1843,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"93",1844,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
"94",1845,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333
"95",1846,0,0,0,0,0,0,0
"96",1847,100,100,100,100,100,100,100
"97",1848,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"98",1849,100,100,100,100,100,100,100
"99",1850,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333
"100",1851,0,0,0,0,0,0,0
"101",1852,100,100,100,100,100,100,100
"102",1853,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
"103",1854,333.333333333333,333.333333333333,333.333333333333,333.333333333333,333.333333333333,333.333333333333,333.333333333333
"104",1855,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
"105",1856,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667
"106",1857,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"107",1858,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"108",1859,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667
"109",1860,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667
"110",1861,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333
"111",1862,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
"112",1863,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333
"113",1864,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667
"114",1865,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333
"115",1866,100,100,100,100,100,100,100
"116",1867,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667
"117",1868,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667
"118",1869,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333
"119",1870,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667
"120",1871,300,300,300,300,300,300,300
"121",1872,566.666666666667,566.666666666667,566.666666666667,566.666666666667,566.666666666667,566.666666666667,566.666666666667
"122",1873,366.666666666667,366.666666666667,366.666666666667,366.666666666667,366.666666666667,366.666666666667,366.666666666667
"123",1874,-333.333333333333,-333.333333333333,-333.333333333333,-333.333333333333,-333.333333333333,-333.333333333333,-333.333333333333
"124",1875,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667
"125",1876,100,100,100,100,100,100,100
"126",1877,100,100,100,100,100,100,100
"127",1878,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
"128",1879,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667
"129",1880,866.666666666667,866.666666666667,866.666666666667,866.666666666667,866.666666666667,866.666666666667,866.666666666667
"130",1881,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333
"131",1882,433.333333333333,433.333333333333,433.333333333333,433.333333333333,433.333333333333,433.333333333333,433.333333333333
"132",1883,533.333333333333,533.333333333333,533.333333333333,533.333333333333,533.333333333333,533.333333333333,533.333333333333
"133",1884,100,100,100,100,100,100,100
"134",1885,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
"135",1886,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333
"136",1887,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667
"137",1888,1066.66666666667,1066.66666666667,1066.66666666667,1066.66666666667,1066.66666666667,1066.66666666667,1066.66666666667
"138",1889,0,0,0,0,0,0,0
"139",1890,966.666666666667,966.666666666667,966.666666666667,966.666666666667,966.666666666667,966.666666666667,966.666666666667
"140",1891,533.333333333333,533.333333333333,533.333333333333,533.333333333333,533.333333333333,533.333333333333,533.333333333333
"141",1892,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
"142",1893,-133.333333333333,-133.333333333333,-133.333333333333,-133.333333333333,-133.333333333333,-133.333333333333,-133.333333333333
"143",1894,433.333333333333,433.333333333333,433.333333333333,433.333333333333,433.333333333333,433.333333333333,433.333333333333
"144",1895,766.666666666667,766.666666666667,766.666666666667,766.666666666667,766.666666666667,766.666666666667,766.666666666667
"145",1896,433.333333333333,433.333333333333,433.333333333333,433.333333333333,433.333333333333,433.333333333333,433.333333333333
"146",1897,700,700,700,700,700,700,700
"147",1898,833.333333333333,833.333333333333,833.333333333333,833.333333333333,833.333333333333,833.333333333333,833.333333333333
"148",1899,1400,1400,1400,1400,1400,1400,1400
"149",1900,900,900,900,900,900,900,900
"150",1901,600,600,600,600,600,600,600
"151",1902,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667,466.666666666667
"152",1903,1700,1700,1700,1700,1700,1700,1700
"153",1904,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333,233.333333333333
"154",1905,1300,1300,1300,1300,1300,1300,1300
"155",1906,1466.66666666667,1466.66666666667,1466.66666666667,1466.66666666667,1466.66666666667,1466.66666666667,1466.66666666667
